id,INFA,CAL,VEFN,VNG,RALA,RAST,COL,COLL,STAE,TUA,STATL,LABL,LABW,CLL,STAL,STAW,ANL,ANW,STIW,STYL,VFN,FNSC,EFNSC,F1parent
20_56,43,3.3,1,1,6.9,0.1,40.1,25.2666666666667,5.55111512312578e-17,14,6.06666666666667,47.0666666666667,18.6333333333333,5.56666666666667,47.0666666666667,8.2,5.53333333333333,2.93333333333333,2.4,35,45.745,23.25,0.3125,62
19_640,69.25,5.175,0,1,-,-,49.15,29.55,-2.775,17.25,6.025,54.475,25.85,8.2,51.7,9.15,7.15,3.05,3.125,35.825,24.4975,34.25,0.125,62
20_59,94.5,4.7475,1,1,-,-,43.55,27.25,-3.025,30,6.925,52.425,26.1,8.075,49.4,9.475,7.45,2.8,2.475,40.5,55.07,30.6666666666667,7.33333333333333,62
20_60,51.25,4.525,1,1,75.45,8.1,41.2,27.4333333333333,-0.233333333333333,22.3333333333333,5.93333333333333,48.6,25.4333333333333,6.46666666666667,48.3666666666667,9.1,6.9,3.16666666666667,2.93333333333333,36.8333333333333,29.315,23.25,1.9375,62
20_62,39,4.90666666666667,1,0,0,0,42.25,26.55,-0.775,20.75,5.05,49.175,22.625,5.2,48.4,9.425,6.45,3.35,2.925,37.675,38.376,31.9,2.18,62
19_641,24.6666666666667,5.06666666666667,0,0,0,0,39.925,26.275,9.71445146547012e-17,24.25,5,46.4,22.575,5.25,46.4,8.625,5.85,2.775,2.5,34.5,23.68,30.25,0.3125,62
20_69,37.25,4.875,1,1,48.05,4.95,39.875,24.3,-1.125,32,5.15,49.05,23.6,6.175,47.925,8.275,6.55,3.075,3.225,33.825,28.3625,30.5,3.8125,62
20_70,0,5.74,1,0,-,-,43.76,26.08,-1.1,16.2,6.16,51.62,26.72,6.76,50.52,9.48,5.92,2.24,2.94,45.26,44.038,31.7,2.8,62
20_71,41,3.3,1,0,-,-,38.7,24.8,-2.55,29,5.85,52.65,24.1,6.1,50.1,8.5,5.85,2.6,2.45,35.75,16.25,28,0.166666666666667,62
20_72,41,5.52666666666667,1,1,99.7,13,47.125,32.775,-2.875,10,7.6,56.3,29.25,9.225,53.525,10.85,6.85,2.725,3.175,45.3,28.8109090909091,32.4545454545455,2.34090909090909,62
20_75,46,5.4,0,0,-,-,38.3333333333333,22.7,-3.36666666666667,21.3333333333333,6.6,53.0666666666667,23.4666666666667,7.23333333333333,49.7,8.93333333333333,6.33333333333333,2.66666666666667,2.66666666666667,36.7333333333333,23.38,29.75,1,62
