trait	model	alpha	n_qtl	significant_ints	significant_int_pve	pve	covariate_only_pve	total_qtl_pve	trait_report_file	peak_intervals_run_id	peak_intervals_run_dir
STATL	normal	0.05	1	NA	NA	51.6293280535455	41.0295765958182	10.5997514577274	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_STATL_20260608_161100.txt	20260608_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260608_alpha0.05
LABL	normal	0.05	2	NA	NA	37.3931954697996	13.9117946419893	23.4814008278103	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_LABL_20260608_161105.txt	20260608_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260608_alpha0.05
LABW	normal	0.05	4	2@71.7:4.2.9@20.7, 2@71.7:6@85.4	3.929, 2.724	50.1199787337123	7.87236883774818	42.2476098959641	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_LABW_20260608_161110.txt	20260608_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260608_alpha0.05
CLL	normal	0.05	1	NA	NA	13.4842524674847	1.70554068226272	11.778711785222	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_CLL_20260608_161118.txt	20260608_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260608_alpha0.05
STAL	normal	0.05	2	NA	NA	33.006760243437	13.9699322964463	19.0368279469907	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_STAL_20260608_161122.txt	20260608_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260608_alpha0.05
STAW	normal	0.05	2	NA	NA	36.0578364467534	12.2588820885616	23.7989543581918	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_STAW_20260608_161128.txt	20260608_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260608_alpha0.05
ANL	normal	0.05	2	NA	NA	24.743388263717	9.96420416029976	14.7791841034172	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_ANL_20260608_161133.txt	20260608_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260608_alpha0.05
ANW	normal	0.05	0	NA	NA	NA	NA	NA	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_ANW_20260608_161138.txt	20260608_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260608_alpha0.05
STIW	normal	0.05	3	8@67.4:F1parent	3.198	28.6859722700454	0.0184593499433339	28.667512920102	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_STIW_20260608_161138.txt	20260608_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260608_alpha0.05
STYL	normal	0.05	1	NA	NA	31.7708231738276	25.6432650654506	6.12755810837704	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_STYL_20260608_161143.txt	20260608_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260608_alpha0.05
VFN	normal	0.05	2	NA	NA	17.1152207768235	0.843806189016272	16.2714145878072	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_VFN_20260608_161148.txt	20260608_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260608_alpha0.05
FNSC	normal	0.05	1	NA	NA	9.75740296938857	0.0270231527163656	9.73037981667221	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_FNSC_20260608_161153.txt	20260608_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260608_alpha0.05
EFNSC40	normal	0.05	1	2@79.5:F1parent	6.56	22.269530674048	0.0155997563082821	22.2539309177397	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_EFNSC40_20260608_161158.txt	20260608_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260608_alpha0.05
