#1_usercol	2_usercol	3_usercol	4_pct_at	5_pct_gc	6_num_A	7_num_C	8_num_G	9_num_T	10_num_N	11_num_oth	12_seq_len
Chrom2	58900000	59000000	0.612790	0.387210	31318	20264	18457	29961	0	0	100000
Chrom2	59000000	59100000	0.593900	0.406100	30307	21107	19503	29083	0	0	100000
Chrom2	59100000	59200000	0.606900	0.393100	31261	20493	18817	29429	0	0	100000
Chrom2	59200000	59300000	0.573730	0.426270	28775	21590	21037	28598	0	0	100000
Chrom2	59300000	59400000	0.597400	0.402600	28730	19072	21188	31010	0	0	100000
Chrom2	59400000	59500000	0.587770	0.412230	29606	20771	20452	29171	0	0	100000
Chrom2	59500000	59600000	0.585350	0.414650	28555	19680	21785	29980	0	0	100000
Chrom2	59600000	59700000	0.600050	0.399950	30345	21427	18568	29660	0	0	100000
Chrom2	59700000	59800000	0.598460	0.401540	29878	20294	19860	29968	0	0	100000
Chrom2	59800000	59900000	0.594980	0.405020	29888	20223	20279	29610	0	0	100000
Chrom2	59900000	60000000	0.613020	0.386980	31280	20246	18452	30022	0	0	100000
Chrom2	60000000	60100000	0.597720	0.402280	30457	21181	19047	29315	0	0	100000
Chrom2	60100000	60200000	0.579910	0.420090	28742	20747	21262	29249	0	0	100000
Chrom2	60200000	60300000	0.586700	0.413300	29383	20258	21072	29287	0	0	100000
Chrom2	60300000	60400000	0.594270	0.405730	30224	21144	19429	29203	0	0	100000
Chrom2	60400000	60500000	0.584330	0.415670	28776	20386	21181	29657	0	0	100000
Chrom2	60500000	60600000	0.589910	0.410090	29656	21212	19797	29335	0	0	100000
Chrom2	60600000	60700000	0.579990	0.420010	29880	22152	19849	28119	0	0	100000
Chrom2	60700000	60800000	0.599740	0.400260	31742	21699	18327	28232	0	0	100000
Chrom2	60800000	60900000	0.599280	0.400720	30049	19497	20575	29879	0	0	100000
Chrom2	60900000	61000000	0.596020	0.403980	29927	20678	19720	29675	0	0	100000
Chrom2	61000000	61100000	0.581040	0.418960	28833	21080	20816	29271	0	0	100000
Chrom2	61100000	61200000	0.608150	0.390850	30806	19895	19190	30009	100	0	100000
Chrom2	61200000	61300000	0.583900	0.416100	29684	20754	20856	28706	0	0	100000
Chrom2	61300000	61400000	0.591420	0.408580	29905	20742	20116	29237	0	0	100000
Chrom2	61400000	61500000	0.597810	0.402190	30317	20238	19981	29464	0	0	100000
Chrom2	61500000	61600000	0.600780	0.399220	30626	20433	19489	29452	0	0	100000
Chrom2	61600000	61700000	0.585190	0.414810	29320	20983	20498	29199	0	0	100000
Chrom2	61700000	61800000	0.575970	0.424030	30040	23065	19338	27557	0	0	100000
Chrom2	61800000	61900000	0.562010	0.437990	27453	21481	22318	28748	0	0	100000
Chrom2	61900000	62000000	0.589680	0.410320	29142	19643	21389	29826	0	0	100000
Chrom2	62000000	62100000	0.585520	0.414480	29015	20002	21446	29537	0	0	100000
Chrom2	62100000	62200000	0.598150	0.401850	29909	19533	20652	29906	0	0	100000
Chrom2	62200000	62300000	0.574610	0.425390	29151	21675	20864	28310	0	0	100000
Chrom2	62300000	62400000	0.581610	0.418390	29311	21978	19861	28850	0	0	100000
Chrom2	62400000	62500000	0.600240	0.399760	29423	20048	19928	30601	0	0	100000
Chrom2	62500000	62600000	0.582700	0.417300	28104	21254	20476	30166	0	0	100000
Chrom2	62600000	62700000	0.595160	0.404840	29905	20250	20234	29611	0	0	100000
Chrom2	62700000	62800000	0.577950	0.422050	28758	21511	20694	29037	0	0	100000
Chrom2	62800000	62900000	0.594720	0.405280	31107	20606	19922	28365	0	0	100000
Chrom2	62900000	63000000	0.576760	0.422240	28612	21815	20409	29064	100	0	100000
Chrom2	63000000	63100000	0.569620	0.430380	28389	21778	21260	28573	0	0	100000
Chrom2	63100000	63200000	0.597020	0.402980	29927	20655	19643	29775	0	0	100000
Chrom2	63200000	63300000	0.578570	0.420430	27908	19714	22329	29949	100	0	100000
Chrom2	63300000	63400000	0.568110	0.431890	27705	21255	21934	29106	0	0	100000
Chrom2	63400000	63500000	0.571360	0.428640	29194	22646	20218	27942	0	0	100000
Chrom2	63500000	63600000	0.595480	0.404520	29053	19634	20818	30495	0	0	100000
Chrom2	63600000	63700000	0.564060	0.435940	28585	23414	20180	27821	0	0	100000
Chrom2	63700000	63800000	0.578870	0.421130	28368	21094	21019	29519	0	0	100000
Chrom2	63800000	63900000	0.579010	0.420990	28244	21366	20733	29657	0	0	100000
Chrom2	63900000	64000000	0.611230	0.388770	29499	18113	20764	31624	0	0	100000
Chrom2	64000000	64100000	0.589440	0.410560	29041	20422	20634	29903	0	0	100000
Chrom2	64100000	64200000	0.581560	0.417440	29700	21377	20367	28456	100	0	100000
Chrom2	64200000	64300000	0.607040	0.392960	29559	19024	20272	31145	0	0	100000
Chrom2	64300000	64400000	0.591790	0.408210	29383	20361	20460	29796	0	0	100000
Chrom2	64400000	64500000	0.613210	0.386790	31764	20402	18277	29557	0	0	100000
Chrom2	64500000	64600000	0.582260	0.417740	28734	21093	20681	29492	0	0	100000
Chrom2	64600000	64700000	0.616640	0.383360	31063	19255	19081	30601	0	0	100000
Chrom2	64700000	64800000	0.585270	0.414730	29166	19999	21474	29361	0	0	100000
Chrom2	64800000	64900000	0.602440	0.397560	30639	20982	18774	29605	0	0	100000
Chrom2	64900000	65000000	0.584830	0.415170	29137	20573	20944	29346	0	0	100000
Chrom2	65000000	65100000	0.596810	0.403190	29876	20015	20304	29805	0	0	100000
Chrom2	65100000	65200000	0.581920	0.418080	28325	20031	21777	29867	0	0	100000
Chrom2	65200000	65300000	0.585500	0.413500	29063	20736	20614	29487	100	0	100000
Chrom2	65300000	65400000	0.598770	0.401230	29763	19524	20599	30114	0	0	100000
Chrom2	65400000	65500000	0.579730	0.420270	30188	23088	18939	27785	0	0	100000
Chrom2	65500000	65600000	0.611360	0.388640	30941	19185	19679	30195	0	0	100000
Chrom2	65600000	65700000	0.583160	0.416840	29798	21849	19835	28518	0	0	100000
Chrom2	65700000	65800000	0.625770	0.374230	31539	18455	18968	31038	0	0	100000
Chrom2	65800000	65900000	0.582070	0.417930	28816	19330	22463	29391	0	0	100000
Chrom2	65900000	66000000	0.576680	0.423320	28476	20588	21744	29192	0	0	100000
Chrom2	66000000	66100000	0.576560	0.423440	27913	20446	21898	29743	0	0	100000
Chrom2	66100000	66200000	0.582140	0.417860	29704	21939	19847	28510	0	0	100000
Chrom2	66200000	66300000	0.581040	0.418960	28863	19871	22025	29241	0	0	100000
Chrom2	66300000	66400000	0.602890	0.397110	30025	19313	20398	30264	0	0	100000
Chrom2	66400000	66500000	0.597850	0.402150	29930	19838	20377	29855	0	0	100000
Chrom2	66500000	66600000	0.576550	0.423450	29212	21797	20548	28443	0	0	100000
Chrom2	66600000	66700000	0.574590	0.424410	28401	21285	21156	29058	100	0	100000
Chrom2	66700000	66800000	0.573060	0.426940	27947	20847	21847	29359	0	0	100000
Chrom2	66800000	66900000	0.586290	0.413710	29282	20343	21028	29347	0	0	100000
Chrom2	66900000	67000000	0.581210	0.418790	30298	22581	19298	27823	0	0	100000
Chrom2	67000000	67100000	0.574290	0.425710	28773	21435	21136	28656	0	0	100000
Chrom2	67100000	67200000	0.571310	0.428690	28885	21173	21696	28246	0	0	100000
Chrom2	67200000	67300000	0.574900	0.425100	28817	21834	20676	28673	0	0	100000
Chrom2	67300000	67400000	0.576290	0.423710	28224	20575	21796	29405	0	0	100000
Chrom2	67400000	67500000	0.576060	0.423940	28469	20800	21594	29137	0	0	100000
Chrom2	67500000	67600000	0.578690	0.421310	28822	21148	20983	29047	0	0	100000
Chrom2	67600000	67700000	0.574410	0.425590	28265	19301	23258	29176	0	0	100000
Chrom2	67700000	67800000	0.574120	0.425880	27931	20156	22432	29481	0	0	100000
Chrom2	67800000	67900000	0.573460	0.426540	28849	22111	20543	28497	0	0	100000
Chrom2	67900000	68000000	0.577880	0.422120	30115	21791	20421	27673	0	0	100000
Chrom2	68000000	68100000	0.577320	0.422680	29383	22245	20023	28349	0	0	100000
Chrom2	68100000	68200000	0.580960	0.419040	28944	20568	21336	29152	0	0	100000
Chrom2	68200000	68300000	0.573260	0.426740	28445	19947	22727	28881	0	0	100000
Chrom2	68300000	68400000	0.575970	0.424030	28791	21467	20936	28806	0	0	100000
Chrom2	68400000	68500000	0.595590	0.404410	27984	18415	22026	31575	0	0	100000
Chrom2	68500000	68600000	0.578150	0.421850	28827	21496	20689	28988	0	0	100000
Chrom2	68600000	68700000	0.610050	0.389950	31118	20228	18767	29887	0	0	100000
Chrom2	68700000	68800000	0.585090	0.414910	29762	21265	20226	28747	0	0	100000
Chrom2	68800000	68900000	0.571590	0.427410	28051	20333	22408	29108	100	0	100000
Chrom2	68900000	69000000	0.584150	0.415850	28122	20240	21345	30293	0	0	100000
Chrom2	69000000	69100000	0.582660	0.417340	30211	22275	19459	28055	0	0	100000
Chrom2	69100000	69200000	0.577780	0.422220	27818	19842	22380	29960	0	0	100000
Chrom2	69200000	69300000	0.584240	0.415760	29539	21824	19752	28885	0	0	100000
Chrom2	69300000	69400000	0.578320	0.421680	28617	21135	21033	29215	0	0	100000
Chrom2	69400000	69500000	0.568560	0.430440	28123	20809	22235	28733	100	0	100000
Chrom2	69500000	69600000	0.599910	0.400090	29400	19346	20663	30591	0	0	100000
Chrom2	69600000	69700000	0.597420	0.402580	28786	18940	21318	30956	0	0	100000
Chrom2	69700000	69800000	0.594870	0.405130	28801	18333	22180	30686	0	0	100000
Chrom2	69800000	69900000	0.591020	0.408980	29227	20434	20464	29875	0	0	100000
Chrom2	69900000	70000000	0.585810	0.414190	29052	20358	21061	29529	0	0	100000
Chrom2	70000000	70100000	0.587410	0.412590	29483	20289	20970	29258	0	0	100000
Chrom2	70100000	70200000	0.574240	0.425760	28506	21177	21399	28918	0	0	100000
Chrom2	70200000	70300000	0.591490	0.408510	29211	19256	21595	29938	0	0	100000
Chrom2	70300000	70400000	0.587400	0.412600	29255	20726	20534	29485	0	0	100000
