unique_ID,INFA,CAL,VEFN,VNG,RALA,RAST,COL,COLL,STAE,TUA,STATL,LABL,LABW,CLL,STAL,STAW,ANL,ANW,STIW,STYL,VFN,FNSC,EFNSC
62_58,50.1428571428571,5.36428571428571,TRUE,TRUE,31.55,4.05,43.76,27.92,2.28,22,5.96,50.04,21.22,4.74,52.38,7.52,7.08,2.6,2.9,39.66,12.4344444444444,29.3333333333333,3.42414311111111
62_59,51,6.025,FALSE,TRUE,45.7,11.1,47.35,29.65,-2.6,22.75,5.225,54.6,26.95,5.95,52,8.8,7.225,2.4,3.425,38.35,15.1661111111111,34.4444444444444,2.10337777777778
62_60,73,6.2,FALSE,FALSE,0,0,45.35,27.1,-3.7,23,6.25,52.75,28.3,5.55,49.05,9.85,6.85,2.8,3.35,37.45,13.844875,32.875,0.88473625
62_62,27.5,5.37,TRUE,TRUE,64.35,0.7,47,30.6,-3.8,28,7.6,54.9,28.1,8,51.1,10.2,7,2.7,3,40.1,15.084,29.5,1.488488
62_63,51.5,4.825,TRUE,FALSE,0,0,48.1,28.8,-4.375,10.5,7,54.85,20.85,5.225,50.475,9.1,6.45,3.2,2.825,38.2,18.795,32.5,1.02888
62_64,60,4.59,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.80396
62_65,47,7.02,TRUE,TRUE,NA,NA,49.3,31.175,-2.225,8.5,7.525,55.825,21.975,6.525,53.6,9.225,6.025,2.85,2.95,43.675,17.48,30,8.6469
62_66,37.5,3.6,TRUE,TRUE,3.3,0.05,41.7,26.925,-1.975,20,6.55,51.775,21.225,7.525,49.8,8.375,6.125,3,2.9,35.525,10.3875,27.875,2.050075
62_69,14,4.095,TRUE,TRUE,NA,NA,43.54,29.1,-3.6,15,5.2,48.96,24.06,7.66,45.36,9.72,7.34,3.24,2.96,37.06,9.4175,17.5,3.51061
62_73,26.25,5.3,TRUE,FALSE,0,0,43.6,26.775,-2,17.75,5.325,51.075,20.15,4.6,49.075,8.2,6.7,2.7,3.1,29.1,12.28375,32,0.7537125
