gel-well#,plate#,well#,PlantID,LabID,Concentration in plate,Qubit ng/uL,260/280,260/230,dilution calculations:,vol.DNA(ul),vol.H20(ul),Gel?,Notes,Qubit redo0,Qubit redo1,Qubit redo2,Dilution,Qbit ng/uL of dilution,NOTES,Nanodrop concentration
,7,A6,165_26d_178,22_168,19,19,1.73,1.74,,,,220907,"ME, AK",,,,,,,
,7,B6,165_26e_158,22_169,21,21.1,1.77,1.95,,,,220907,"ME, AK",,,,,,,
,7,C6,165_26d_171,22_170,47,47.3,1.8,2.11,,,,220907,"ME, AK",,,,,,,
,7,D6,165_26d_175,22_171,9,8.72,1.66,1.59,,,,220907,"ME, AK",,,,,,,
,7,E6,165_26c_121,22_172,56,56,1.82,2.12,,,,220907,"ME, AK",,,,,,,
,7,F6,39 x 39 -82,21_054,19.5,19.5,1.91,2.24,,,,,,,,,,,,
,7,G6,62 x 62 -34,19_657,3.1,3.1,1.38,1.05,,,,,,,,,,,,
,7,H6,62 x 62 -35,19_658,5.4,5.4,1.5,1.6,,,,,,,,,,,,
,7,A7,62 x 62 -37,19_660,4.7,4.7,1.37,1.4,,,,,,,,,,,,
,7,B7,62 x 62 -40 ,19_663,14.7,14.7,1.66,1.83,,,,,,,,,,,,
,7,C7,62 x 62 -44,19_668,3.6,3.6,2.11,1.21,,,,,,,,,,,,
,7,D7,62 x 62 -126,22_190,21,,1.9,2.39,,,,,,,,,1:10,40.4,,
,7,E7,39 x 39 -55,22_192,78,78.1,1.82,2.3,,,,,,,,,1:10,13.4,,
,7,F7,62 x 62 -58,21_014,29.6,29.6,1.89,2.26,,,,,,,,,,,,
,7,G7,39 x 39 -81,22_193,80,79.5,1.77,2.11,,,,,,,,,1:10,0.9,,
,7,H7,Costus bracteatus x lasius #39,22_194,52,52,1.82,1.88,,,,,,,,,,,,
,7,A8,165_26D_173,22_174,36,36.1,1.83,2.15,,,,,,,,,,,,
,7,B8,165_26D_176,22_175,12,12.1,1.84,1.66,,,,,,,,,,,,
,7,C8,165_26D_151,22_176,89,88.8,1.87,2.38,,,,,,,,,,,,
,7,D8,165_26D_164,22_177,40,39.9,1.85,2.06,,,,,,,,,,,,
,7,E8,165_26C_129,22_178,58,58,1.87,2.31,,,,,,,,,,,,
,7,F8,165_26C_114,22_179,14,13.8,1.8,1.75,,,,,,,,,,,,
,7,G8,165_26E_179,22_180,12,12.2,1.8,1.71,,,,,,,,,,,,
,7,H8,165_26B_191,22_181,17,17.4,1.83,1.79,,,,,,,,,,,,
,7,A9,165_26B_77,22_182,3,2.76,1.77,1.06,,,,,,,,,,,,
,7,B9,165_26D_186,22_183,10,10.4,1.79,1.56,,,,,,,,,,,"didn't do well in sequencing, resequence? good dry down data...",
,7,C9,165_26E_180,22_184,15,15.3,1.8,1.46,,,,,,,,,,,,
,7,D9,165_26D_152,22_185,30,30.3,1.79,1.72,,,,,,,,,,,,
,7,E9,165_26D_162,22_186,5,5.42,1.73,1.53,,,,,,,,,,,,
,7,F9,165_26D_124,22_187,6,5.82,1.74,1.5,,,,,,,,,,,,
,7,G9,165_26E_167,22_188,5,4.78,1.76,1.5,,,,,,,,,,,,
,7,H9,165_26B_168,22_189,3,2.63,1.68,1.25,,,,,,,,,,,,
,7,A10,165_009_45,22_195,55,55,1.82,2.01,,,,,,,,,,,,
,7,B10,165_009B_41,22_196,52,52,1.83,2,Try to find in freezer: ,,,,,,,,,,,
,7,C10,165_26C_210,22_197,19,18.6,1.74,1.51,21-014,,,,,,,,,,,
,7,D10,165_009_55,22_199,17,17,1.67,1.16,19-651,automatically add to plates,,,,,,,,,,
,7,E10,165_009B_03,22_200,54,54,1.78,1.63,19-690,automatically add to plates,,,,,,,,,,
,7,F10,165_009_73,22_201,4,3.83,1.57,0.74,,,,,,,,,,,,
,7,G10,165_26E_196,22_202,13,13,1.69,1.17,,,,,,,,,,,,
,7,H10,165_009_47,22_203,36,35.6,1.79,1.57,,,,,,,,,,,,
,7,A11,165_009_16,22_204,26,26.2,1.73,1.33,,,,,,,,,,,,
,7,B11,165_009B_70,22_205,13,12.8,1.75,1,,,,,,,,,,,,
,7,C11,165_009_80,22_206,35,35.2,1.74,1.37,,,,,,,,,,,,
,7,D11,165_26B_207,22_207,41,41.1,1.79,1.64,,,,,,,,,,,,
